"proyecto" "folioviv" "foliohog" "numren" "conyu" "inglab" "pea" "c_ocupa" "sector_act" "ocup_16omas" "ocup" "trab_formal" "pering" "asis_esc" "años_escolaridad" "preslab" "jub" "factor" "habl_ind" "edo_civ" "pob_ind" "tam_loc" "ic_rezedu" "ic_asalud" "ic_segsoc" "ic_cv" "ic_sbv" "ic_ali" "ictpc" "sexo" "edad" "ictpc2" "mun" "ayuotr" "bengob" "est_calidad_vivienda" "actcom" "tdep" "remesas" "rururb" "bienes" "jsexo" "jedad" "pcpering" "pcocup" "jaesc" "clase_hog" "jnived"
2 153011 0 2 1 0 3 6 5 0 0 4 1 2 6 NA 0 1819 0 2 0 4 0 0 1 0 1 0 1226.2094 0 34 1226.2094 5 0 1 2 1 1 0 1 6 1 38 100 33.33334 3 2 3
2 153011 0 3 0 4404.2615 1 3 2 1 1 NA 1 2 9 0 0 1819 0 6 0 4 0 1 1 0 1 0 1226.2094 1 18 1226.2094 5 0 1 2 1 1 0 1 6 1 38 100 33.33334 3 2 3
2 153011 0 4 0 0 4 7 6 0 0 5 1 1 6 NA 0 1819 0 6 0 4 0 0 1 0 1 0 1226.2094 1 12 1226.2094 5 0 1 2 1 1 0 1 6 1 38 100 33.33334 3 2 3
2 153011 0 5 0 0 4 7 6 0 0 5 1 1 5 NA 0 1819 0 NA 0 4 0 0 1 0 1 0 1226.2094 0 11 1226.2094 5 0 1 2 1 1 0 1 6 1 38 100 33.33334 3 2 3
2 153011 0 6 0 0 4 7 6 0 0 5 1 1 0 NA 0 1819 0 NA 0 4 0 0 1 0 1 0 1226.2094 1 5 1226.2094 5 0 1 2 1 1 0 1 6 1 38 100 33.33334 3 2 3
2 153012 0 1 0 1270.471 1 1 1 1 1 2 1 2 3 NA 0 1819 0 1 0 4 1 1 1 1 1 0 471.92562 1 50 471.92562 5 0 0 2 0 0.5 0 1 0 1 50 33.33334 66.66667 3 2 3
2 153012 0 2 1 0 1 1 1 1 1 NA 0 2 1 0 0 1819 0 1 0 4 1 1 1 1 1 0 471.92562 0 30 471.92562 5 0 0 2 0 0.5 0 1 0 1 50 33.33334 66.66667 3 2 3
2 153012 0 3 0 NA 4 7 6 0 0 5 0 2 0 NA 0 1819 0 NA 0 4 1 1 1 1 1 0 471.92562 1 3 471.92562 5 0 0 2 0 0.5 0 1 0 1 50 33.33334 66.66667 3 2 3
2 156001 0 1 0 6263.7026 1 3 3 1 1 NA 1 2 4 NA 0 741 0 2 0 2 1 0 1 0 0 0 3150.2566 1 64 3150.2566 5 0 0 4 1 0 0 0 11 1 64 50 50 4 2 3
2 156001 0 2 1 NA 3 6 5 0 0 4 0 2 6 NA 0 741 0 2 0 2 0 0 0 0 0 0 3150.2566 0 60 3150.2566 5 0 0 4 1 0 0 0 11 1 64 50 50 4 2 3
2 156001 0 3 0 NA 3 6 5 0 0 4 0 2 0 NA 0 741 0 6 0 2 1 0 0 0 0 0 3150.2566 1 35 3150.2566 5 0 0 4 1 0 0 0 11 1 64 50 50 4 2 3
2 156001 0 4 0 3803.4627 1 3 3 1 1 NA 1 2 12 0 0 741 0 6 0 2 0 0 1 0 0 0 3150.2566 1 27 3150.2566 5 0 0 4 1 0 0 0 11 1 64 50 50 4 2 3
2 156002 0 1 0 0 3 6 5 0 0 4 1 2 17 NA 1 741 0 2 0 2 0 0 0 0 0 0 12318.773 1 56 12318.773 5 0 0 4 4 0 0 0 14 1 56 100 66.66667 17 2 10
2 156002 0 2 1 2902.5895 1 3 3 1 1 NA 1 2 6 0 0 741 0 2 0 2 0 0 0 0 0 0 12318.773 0 56 12318.773 5 0 0 4 4 0 0 0 14 1 56 100 66.66667 17 2 10
2 156002 0 3 0 14833.154 1 3 3 1 1 1 1 2 17 1 0 741 0 6 0 2 0 0 0 0 0 0 12318.773 0 32 12318.773 5 0 0 4 4 0 0 0 14 1 56 100 66.66667 17 2 10
2 156004 0 1 0 532.78204 1 1 2 1 1 NA 1 2 6 0 0 741 0 2 0 2 0 0 0 0 0 0 1622.5846 1 75 1622.5846 5 0 1 2 1 2 0 0 10 1 75 83.33333 50 6 3 4
2 156004 0 2 1 0 3 6 5 0 0 4 1 2 6 NA 0 741 0 2 0 2 0 0 0 0 0 0 1622.5846 0 74 1622.5846 5 0 1 2 1 2 0 0 10 1 75 83.33333 50 6 3 4
2 156004 0 3 0 2823.1412 1 3 3 1 1 1 1 2 9 1 0 741 0 2 0 2 0 0 0 0 0 0 1622.5846 1 40 1622.5846 5 0 1 2 1 2 0 0 10 1 75 83.33333 50 6 3 4
